posFile,stimFile,testFile,test1,test2,cs_neg_s,cs_pos_s,cs_neg_ns,cs_pos_ns,cs_neg_s_new,cs_pos_s_new,cs_neg_ns_new,cs_pos_ns_new,position1,stim1,position2,stim2,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textStart.started,key.started,key.keys,key.rt,correctness,textStartTask.started,participant,group,date,expName,psychopyVersion,frameRate,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Test1.png,stimuli/Test2.png,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,"(-0.7, -0.5)",test2,"(-0.7, 0.5)",test1,0,0,0,0,0,0,0,8,,,,,12.785328200086951,36.87465849984437,l,0.8083033002912998,wrong,,10,A,2024-04-19_10h05.22.340,gca_discrimination2,2022.2.4,144.0365965605422,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Test1.png,stimuli/Test2.png,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,"(0.7, -0.5)",test2,"(0.7, 0.5)",test2,0,0,0,0,0,1,1,9,,,,,,41.825844899751246,l,1.032934700138867,correct,,10,A,2024-04-19_10h05.22.340,gca_discrimination2,2022.2.4,144.0365965605422,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Test1.png,stimuli/Test2.png,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,"(-0.7, 0.5)",test1,"(0.7, 0.5)",test1,0,0,0,0,0,2,2,4,,,,,,47.37422710005194,l,1.156443899963051,correct,,10,A,2024-04-19_10h05.22.340,gca_discrimination2,2022.2.4,144.0365965605422,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Test1.png,stimuli/Test2.png,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,"(0.7, -0.5)",test2,"(-0.7, -0.5)",test2,0,0,0,0,0,3,3,6,,,,,,52.57541160006076,l,0.7650284999981523,correct,,10,A,2024-04-19_10h05.22.340,gca_discrimination2,2022.2.4,144.0365965605422,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Test1.png,stimuli/Test2.png,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,"(-0.7, 0.5)",test2,"(0.7, -0.5)",test1,0,0,0,0,0,4,4,7,,,,,,57.20717749977484,ä,0.8599639004096389,correct,,10,A,2024-04-19_10h05.22.340,gca_discrimination2,2022.2.4,144.0365965605422,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Test1.png,stimuli/Test2.png,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,"(0.7, 0.5)",test2,"(-0.7, -0.5)",test2,0,0,0,0,0,5,5,0,,,,,,61.887521099764854,l,0.7644409001804888,correct,,10,A,2024-04-19_10h05.22.340,gca_discrimination2,2022.2.4,144.0365965605422,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Test1.png,stimuli/Test2.png,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,"(-0.7, 0.5)",test2,"(0.7, 0.5)",test1,0,0,0,0,0,6,6,3,,,,,,66.98456279980019,ä,1.2908413000404835,correct,,10,A,2024-04-19_10h05.22.340,gca_discrimination2,2022.2.4,144.0365965605422,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Test1.png,stimuli/Test2.png,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,"(-0.7, -0.5)",test1,"(0.7, 0.5)",test1,0,0,0,0,0,7,7,2,,,,,,72.7343401000835,l,0.7005954999476671,correct,,10,A,2024-04-19_10h05.22.340,gca_discrimination2,2022.2.4,144.0365965605422,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Test1.png,stimuli/Test2.png,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,"(-0.7, 0.5)",test2,"(0.7, 0.5)",test1,0,0,0,0,0,8,8,1,,,,,,78.19242089986801,ä,1.195043200161308,correct,,10,A,2024-04-19_10h05.22.340,gca_discrimination2,2022.2.4,144.0365965605422,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Test1.png,stimuli/Test2.png,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Social3.png,stimuli/Social4.png,stimuli/Nonsocial3.png,stimuli/Nonsocial4.png,"(-0.7, -0.5)",test1,"(-0.7, 0.5)",test1,0,0,0,0,0,9,9,5,,,,,,83.9074519998394,l,0.4471304998733103,correct,,10,A,2024-04-19_10h05.22.340,gca_discrimination2,2022.2.4,144.0365965605422,
