posFile,stimFile,testFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,test1,test2,position1,trialtype,position2,comptype,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textStart.started,key.started,key.keys,key.rt,correctness,textStartTask.started,participant,group,date,expName,psychopyVersion,frameRate,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, -0.5)",test2,"(0.7, 0.5)",test2,0,0,0,0,0,0,0,7,,,,,14.71761369984597,69.00021429988556,ä,0.6420708002988249,correct,,42,A,2023-12-22_15h48.05.405,gca_discrimination,2022.2.4,143.98122489304083,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test1,"(0.7, -0.5)",test1,0,0,0,0,0,1,1,5,,,,,,73.77776759979315,ä,0.5692312000319362,correct,,42,A,2023-12-22_15h48.05.405,gca_discrimination,2022.2.4,143.98122489304083,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, 0.5)",test1,"(0.7, -0.5)",test2,0,0,0,0,0,2,2,11,,,,,,79.10394850000739,l,0.6897672000341117,correct,,42,A,2023-12-22_15h48.05.405,gca_discrimination,2022.2.4,143.98122489304083,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, -0.5)",test1,"(0.7, 0.5)",test2,0,0,0,0,0,3,3,0,,,,,,84.42315639997832,l,0.6186532999854535,correct,,42,A,2023-12-22_15h48.05.405,gca_discrimination,2022.2.4,143.98122489304083,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, -0.5)",test2,"(-0.7, 0.5)",test1,0,0,0,0,0,4,4,4,,,,,,89.27023659995757,l,0.8431681001093239,correct,,42,A,2023-12-22_15h48.05.405,gca_discrimination,2022.2.4,143.98122489304083,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, 0.5)",test2,"(0.7, -0.5)",test1,0,0,0,0,0,5,5,6,,,,,,94.79781449981965,l,0.5398906001355499,correct,,42,A,2023-12-22_15h48.05.405,gca_discrimination,2022.2.4,143.98122489304083,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, -0.5)",test1,"(0.7, 0.5)",test2,0,0,0,0,0,6,6,8,,,,,,99.4711741998326,l,0.4590766001492739,correct,,42,A,2023-12-22_15h48.05.405,gca_discrimination,2022.2.4,143.98122489304083,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test2,"(0.7, -0.5)",test1,0,0,0,0,0,7,7,12,,,,,,104.40157679980621,l,0.48843790008686483,correct,,42,A,2023-12-22_15h48.05.405,gca_discrimination,2022.2.4,143.98122489304083,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, 0.5)",test2,"(-0.7, 0.5)",test1,0,0,0,0,0,8,8,13,,,,,,109.15834059985355,l,0.651750200195238,correct,,42,A,2023-12-22_15h48.05.405,gca_discrimination,2022.2.4,143.98122489304083,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, -0.5)",test2,"(-0.7, 0.5)",test2,0,0,0,0,0,9,9,2,,,,,,114.46367319999263,ä,0.44301510020159185,correct,,42,A,2023-12-22_15h48.05.405,gca_discrimination,2022.2.4,143.98122489304083,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test2,"(0.7, 0.5)",test1,0,0,0,0,0,10,10,3,,,,,,119.30376019980758,l,0.5459076000843197,correct,,42,A,2023-12-22_15h48.05.405,gca_discrimination,2022.2.4,143.98122489304083,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test2,"(-0.7, -0.5)",test2,0,0,0,0,0,11,11,1,,,,,,123.91473029996268,ä,0.6156578999944031,correct,,42,A,2023-12-22_15h48.05.405,gca_discrimination,2022.2.4,143.98122489304083,
