posFile,stimFile,testFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,test1,test2,position1,trialtype,position2,comptype,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textStart.started,key.started,key.keys,correctness,key.rt,textStartTask.started,participant,group,date,expName,psychopyVersion,frameRate,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, -0.5)",test2,"(-0.7, 0.5)",test2,0,0,0,0,0,0,0,2,,,,,16.018807100015692,50.66326880000997,None,no answer,,,43,C,2024-01-02_12h34.10.459,gca_discrimination,2022.2.4,143.92775989889472,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, -0.5)",test1,"(0.7, 0.5)",test1,0,0,0,0,0,1,1,10,,,,,,56.60750480007846,ä,correct,0.3268482000567019,,43,C,2024-01-02_12h34.10.459,gca_discrimination,2022.2.4,143.92775989889472,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, -0.5)",test2,"(0.7, 0.5)",test2,0,0,0,0,0,2,2,7,,,,,,61.21147610002663,ä,correct,0.5471538999117911,,43,C,2024-01-02_12h34.10.459,gca_discrimination,2022.2.4,143.92775989889472,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, 0.5)",test2,"(-0.7, 0.5)",test1,0,0,0,0,0,3,3,13,,,,,,66.45431160007138,l,correct,0.47235950001049787,,43,C,2024-01-02_12h34.10.459,gca_discrimination,2022.2.4,143.92775989889472,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test2,"(0.7, -0.5)",test1,0,0,0,0,0,4,4,12,,,,,,71.18328400002792,l,correct,0.6233567000599578,,43,C,2024-01-02_12h34.10.459,gca_discrimination,2022.2.4,143.92775989889472,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, 0.5)",test1,"(0.7, -0.5)",test2,0,0,0,0,0,5,5,11,,,,,,75.99563230003696,l,correct,0.4679700001142919,,43,C,2024-01-02_12h34.10.459,gca_discrimination,2022.2.4,143.92775989889472,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test1,"(0.7, -0.5)",test1,0,0,0,0,0,6,6,5,,,,,,81.00237310002558,ä,correct,0.7493998999707401,,43,C,2024-01-02_12h34.10.459,gca_discrimination,2022.2.4,143.92775989889472,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, -0.5)",test1,"(0.7, 0.5)",test2,0,0,0,0,0,7,7,8,,,,,,85.6340725000482,l,correct,0.4290211000479758,,43,C,2024-01-02_12h34.10.459,gca_discrimination,2022.2.4,143.92775989889472,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test2,"(-0.7, -0.5)",test2,0,0,0,0,0,8,8,1,,,,,,90.34227650007233,ä,correct,1.1446404000744224,,43,C,2024-01-02_12h34.10.459,gca_discrimination,2022.2.4,143.92775989889472,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, 0.5)",test2,"(0.7, -0.5)",test1,0,0,0,0,0,9,9,6,,,,,,95.64761059999,l,correct,0.48819730000104755,,43,C,2024-01-02_12h34.10.459,gca_discrimination,2022.2.4,143.92775989889472,
